ID,Name,Category,Tier,WeaponType,Value,Role,Copies
1,Venti,Character,Legendary,Bow,9,Defense,1
2,Zhongli,Character,Legendary,Polearm,10,Defense,1
3,Raiden Shogun,Character,Legendary,Polearm,10,Attack,1
4,Nahida,Character,Legendary,Catalyst,9,Defense,1
5,Furina,Character,Legendary,Sword,9,Attack,1
6,Mavuika,Character,Legendary,Claymore,10,Attack,1
7,Dvalin,Monster,Rare,,7,Attack,2
8,Azhdaha,Monster,Rare,,8,Defense,2
9,Thunder Manifestation,Monster,Rare,,7,Attack,2
10,Gluttonous Yumkasaur Mountain King,Monster,Rare,,7,Defense,2
11,Hydro Tupla,Monster,Rare,,6,Attack,2
12,Goldflame Qucusaur Tyrant,Monster,Rare,,8,Defense,2
13,Cryo Hypostasis,Monster,Rare,,6,Attack,1
14,Anemo Samachurl,Monster,Common,,2,Defense,3
15,Geo Rifthound,Monster,Common,,3,Attack,3
16,Electro Abyss Mage,Monster,Common,,2,Defense,3
17,Winged Dendroshroom,Monster,Common,,4,Attack,3
18,Tainted Hydro Phantasm,Monster,Common,,5,Defense,3
19,Pyro Whopperflower,Monster,Common,,4,Attack,3
20,Large Cryo Slime,Monster,Common,,1,Defense,4
21,Sacrificial Bow,Weapon,Rare,Bow,6,Defense,1
22,Rightful Reward,Weapon,Rare,Polearm,6,Defense,1
23,Flowing Purity,Weapon,Rare,Catalyst,6,Defense,1
24,Favonius Sword,Weapon,Rare,Sword,7,Attack,1
25,The Bell,Weapon,Rare,Claymore,7,Attack,1
26,Viridescent Venerer,Artefact,Common,,2,Defense,2
27,Archaic Petra,Artefact,Common,,2,Attack,2
28,Thundering Fury,Artefact,Common,,2,Defense,2
29,Deepwood Memories,Artefact,Common,,2,Attack,2
30,Heart of Depth,Artefact,Common,,2,Defense,2
31,Crimson Witch of Flames,Artefact,Common,,2,Attack,2
32,Blizzard Strayer,Artefact,Common,,2,Defense,2
