ID,Name,Category,Tier,WeaponType,Value,Role,Copies
1,Raiden Shogun,Character,Legendary,Polearm,10,Attack,1
2,Zhongli,Character,Legendary,Polearm,9,Defense,1
3,Mavuika,Character,Legendary,Claymore,9,Attack,1
4,Dvalin,Monster,Rare,,7,Attack,1
5,Azhdaha,Monster,Rare,,8,Defense,1
6,Thunder Manifestation,Monster,Rare,,7,Attack,1
7,Gluttonous Yumkasaur Mountain King,Monster,Rare,,7,Defense,1
8,Hydro Tupla,Monster,Rare,,6,Attack,1
9,Goldflame Qucusaur Tyrant,Monster,Rare,,8,Defense,1
10,Cryo Hypostasis,Monster,Rare,,6,Attack,1
11,Anemo Samachurl,Monster,Common,,2,Defense,2
12,Geo Rifthound,Monster,Common,,3,Attack,2
13,Electro Abyss Mage,Monster,Common,,2,Defense,2
14,Winged Dendroshroom,Monster,Common,,4,Attack,2
15,Tainted Hydro Phantasm,Monster,Common,,5,Defense,2
16,Pyro Whopperflower,Monster,Common,,4,Attack,2
17,Large Cryo Slime,Monster,Common,,1,Defense,2
18,Favonius Sword,Weapon,Rare,Sword,6,Attack,1
19,Rightful Reward,Weapon,Rare,Polearm,7,Defense,1
20,Viridescent Venerer,Artefact,Common,,2,Defense,1
21,Archaic Petra,Artefact,Common,,2,Defense,1
22,Thundering Fury,Artefact,Common,,2,Attack,1
23,Deepwood Memories,Artefact,Common,,2,Attack,1
